quote,character
You are unwise to lower your defenses,Lord Vader
Aren't you a little short for a stormtrooper?,Leia Organa
I got a bad feeling about this.,Han Solo
It's the ship that made the Kessel Run in less than 12 parsecs.,Han Solo
"If you define yourself by your power to take life, your desire to dominate, to possess, then you have nothing.",Obi-Wan Kenobi
Do. Or do not. There is no try.,Master Yoda
"Chewie, we're home.",Han Solo
Sorry about the mess.,Han Solo
The dark side of the Force is a pathway to many abilities some consider to be unnatural.,Palpatine
"Size matters not. Look at me. Judge me by my size, do you?",Master Yoda
That's no moon. It's a space station.,Obi-Wan Kenobi
"When you look at the dark side, careful you must be, for the dark side looks back.",Master Yoda
You're overconfidence is your weakness.,Luke Skywalker
I won't fail you. I'm not afraid,Luke Skywalker
"Your thoughts betray you, Father. I feel the good in you, the conflict.",Luke Skywalker
There isn't enough life on this ice cube to fill a space cruiser.,Han Solo
"You said you wanted to be around when I made a mistake. Well, this could be it, sweetheart.",Han Solo
Would it help if I got out and pushed?,Leia Organa
"If there's a bright center of the universe, you're on the planet that it's farthest from.",Luke Skywalker
mpressive. Every word in that sentence was wrong.",Luke Skywalker
"Strike me down in anger and I'll always be with you, just like your father.",Luke Skywalker
"Oh, Han, it's not like that at all. He's my brother.",Leia Organa
This is not going to go the way you think,Luke Skywalker
Obi-Wan has taught you well.,Lord Vader
But I was going into Tosche Station to pick up some power converters!,Luke Skywalker
"Traveling through hyperspace ain't like dusting crops, farm boy.",Han Solo
"I'm Luke Skywalker, I'm Here To Rescue You.",Luke Skywalker
"Hey, Luke, May the force be with you.",Han Solo
"Remember! The Force will be with you, always.",Obi-Wan Kenobi
"Remember, concentrate on the moment. Feel, don't think, use your instincts.",Qui Gon Jinn
